,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
17,0.685022521018982,0.09178141050309066,0.04069263935089111,0.011307733775986515,3,16,20,"{'min_samples_leaf': 3, 'min_samples_split': 16, 'n_estimators': 20}",0.8120262758969177,0.8074785245073269,0.8236483072258717,0.8044466902475998,0.821121778676099,0.821121778676099,0.8115209701869631,0.8250758341759353,0.8164812942366027,0.820525783619818,0.8163447237449233,0.006743925578306488,13,0.8453504043126685,0.8464734950584007,0.8444519317160827,0.846866576819407,0.8458557951482479,0.8450134770889488,0.8466981132075472,0.8455836936380482,0.8464821157841541,0.8463698130158909,0.8459145415789395,0.0007579250841960901
18,0.34607710838317873,0.05774798284533538,0.01724998950958252,0.005029102556272518,4,8,10,"{'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 10}",0.8135421930267812,0.8024254674077818,0.8226376958059626,0.8064679130874179,0.8231430015159171,0.8206164729661445,0.8140474987367358,0.8301314459049545,0.8119312436804853,0.8159757330637007,0.8160918665195881,0.007858395045332893,17,0.8439465408805031,0.8442834681042228,0.8434973045822103,0.8457434860736748,0.8428796046720575,0.8429357592093442,0.8447888589398024,0.8407546746027289,0.8442922118030209,0.8430568813521253,0.843617879021969,0.0012819003093635674
19,0.5344742774963379,0.07067667804591567,0.022138285636901855,0.0048060089174763315,4,8,15,"{'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 15}",0.8150581101566448,0.8059626073774634,0.8226376958059626,0.8059626073774634,0.8241536129358262,0.8196058615462355,0.8110156644770086,0.8281092012133469,0.8169868554095046,0.8159757330637007,0.8165467949363157,0.007038389623316137,11,0.8462488769092543,0.8464173405211141,0.8437219227313567,0.8463050314465409,0.8436657681940701,0.8452942497753818,0.8450134770889488,0.8424392161266775,0.84738053793026,0.8429445785838621,0.8449430999307467,0.0015871052657250202
20,0.6742271661758423,0.09762897942383338,0.03300759792327881,0.011142289144857322,4,8,20,"{'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 20}",0.8115209701869631,0.8064679130874179,0.8226376958059626,0.8054573016675088,0.8241536129358262,0.8256695300656898,0.810510358767054,0.8296258847320526,0.8195146612740142,0.820525783619818,0.8176083712142308,0.00805530244950802,6,0.8473158131176999,0.8470350404312669,0.8446203953279425,0.8478212039532794,0.8454627133872417,0.8460804132973945,0.8456873315363881,0.8417092481329664,0.8456959964063114,0.844572968723679,0.8456001124314169,0.0016539636596494386
21,0.3447733879089355,0.0593052947653341,0.016355419158935548,0.0012775939019736356,4,16,10,"{'min_samples_leaf': 4, 'min_samples_split': 16, 'n_estimators': 10}",0.8175846387064174,0.8029307731177362,0.821121778676099,0.8069732187973724,0.8266801414855988,0.8170793329964628,0.8155634158665993,0.8260869565217391,0.8149646107178968,0.8154701718907987,0.8164455038776721,0.007053841917737147,12,0.84035265049416,0.8436096136567834,0.8397911051212938,0.8421495956873315,0.8392857142857143,0.8391172506738545,0.8383310871518419,0.8413723398281767,0.8408669773709921,0.8397439496883599,0.8404620283958508,0.0014986199686038372
22,0.48221769332885744,0.07123080483876584,0.02483401298522949,0.007795746433221357,4,16,15,"{'min_samples_leaf': 4, 'min_samples_split': 16, 'n_estimators': 15}",0.8185952501263264,0.8039413845376453,0.8206164729661445,0.8059626073774634,0.8251642243557352,0.8170793329964628,0.8135421930267812,0.8276036400404448,0.8169868554095046,0.8129423660262892,0.81624343268628,0.007139819765564949,15,0.8407457322551662,0.8438342318059299,0.8389487870619946,0.8417565139263252,0.8409141958670261,0.8410265049415993,0.8395664869721473,0.8417653995170981,0.8424392161266775,0.840305463529676,0.841130253200364,0.0013382912890093056
23,0.6874618530273438,0.2075716831043544,0.04328429698944092,0.023538661978923958,4,16,20,"{'min_samples_leaf': 4, 'min_samples_split': 16, 'n_estimators': 20}",0.8206164729661445,0.8079838302172815,0.8206164729661445,0.8074785245073269,0.8216270843860536,0.8196058615462355,0.8135421930267812,0.8276036400404448,0.8200202224469161,0.8149646107178968,0.8174058912821225,0.0060192913025769795,7,0.8415318957771788,0.8442834681042228,0.8405772686433064,0.8422057502246182,0.8415880503144654,0.8411388140161725,0.8407457322551662,0.8427199730473356,0.8430007299679937,0.8411477342916502,0.841893941664211,0.001100821149052605
24,0.4728377342224121,0.14407306283817434,0.026630759239196777,0.012715670276488952,5,8,10,"{'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 10}",0.8175846387064174,0.7993936331480546,0.8175846387064174,0.8034360788276907,0.8241536129358262,0.8185952501263264,0.8155634158665993,0.8215369059656218,0.8200202224469161,0.8124368048533872,0.8150305201583257,0.007497799623554204,20,0.8395664869721473,0.8400718778077269,0.8386680143755616,0.8405211141060198,0.8383872416891285,0.8386118598382749,0.8385557053009883,0.8395193441518334,0.8385647706215958,0.8364871694087259,0.8388953584272002,0.0010621354606482418
25,0.7261546134948731,0.17313657398826407,0.03540444374084473,0.015041486903198576,5,8,15,"{'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 15}",0.821121778676099,0.8004042445679637,0.8155634158665993,0.8089944416371905,0.8256695300656898,0.8236483072258717,0.8226376958059626,0.8255813953488372,0.8185035389282103,0.8154701718907987,0.8177594520013223,0.007630065052669656,4,0.8392857142857143,0.8417565139263252,0.8396787960467206,0.8431603773584906,0.8404088050314465,0.8388364779874213,0.8413072776280324,0.8394070413835701,0.8408669773709921,0.8389016789263856,0.8403609659945099,0.0013387746815034178
26,0.9187399864196777,0.1496003098126436,0.0419884204864502,0.014605849068420699,5,8,20,"{'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 20}",0.8170793329964628,0.8014148559878727,0.8160687215765539,0.8084891359272359,0.8256695300656898,0.8256695300656898,0.8170793329964628,0.8230535894843276,0.8190091001011123,0.8129423660262892,0.8166475495227697,0.007227983813975438,10,0.8402964959568733,0.8418688230008985,0.839622641509434,0.8437219227313567,0.8410265049415993,0.8390610961365679,0.8411949685534591,0.8404177662979393,0.8405300690662025,0.8392947386153069,0.8407035026809637,0.001301631879892287
